"Timestamp","What is your age range?","Gender","Country of residence","Main occupation","Approximate monthly income (after taxes)","Have you interacted (purchase, website, social media) with Gucci, Dior, or Louis Vuitton in the last 12 months?","How often have you purchased products from any of these brands in the last 12 months?","Have you purchased online (website/app) from these brands in the last 12 months?","Which brand attracts you the most currently?","I frequently consume luxury brand content on social media.","I actively interact (likes, comments, shares, saves) with luxury brand content.","I follow influencers or accounts that talk about these brands.","Digital content from these brands generates excitement or interest in me.","The online experience of these brands is consistent with their physical store experience.","The digital experience (website, app, social media) feels premium and exclusive.","Personalized recommendations (emails, suggestions, tailored content) feel useful to me.","Digital innovation (e.g., AR, virtual experiences, online personalization) increases my interest in these brands.","I feel emotionally connected to at least one of these brands.","These brands make me feel unique or part of an exclusive group.","I prefer these brands over similar ones, even if they cost more.","I would recommend these brands to friends or family.","What is your intention to purchase again from these brands in the next 12 months?","If these brands improve their digital presence, my loyalty would increase.","My digital interactions with these brands strengthen my loyalty."
"2026/02/16 8:52:48 pm CET","55+","Female","Spain","Senior professional / Management","7,000€+","Yes","Once","No, but I would consider it","None / I switch frequently","2","1","1","3","3","3","4","3","1","3","4","4","4","3","3"
"2026/02/16 8:54:50 pm CET","18-24","Female","Argentina","Student","I'm still a student","Yes","2–4 times","1–2 times","None / I switch frequently","5","5","5","5","3","4","5","4","3","4","4","5","5","4","4"
"2026/02/16 8:57:26 pm CET","18-24","Female","Mexico","Student","I'm still a student","Yes","2–4 times","1–2 times","Louis Vuitton","5","5","4","4","5","4","5","4","4","5","4","5","4","4","5"
"2026/02/16 8:57:44 pm CET","25-34","Female","uk","Junior professional","4,001–7,000€","Yes","Once","No, but I would consider it","Gucci","4","4","5","5","3","3","5","3","3","4","4","4","5","4","4"
"2026/02/16 9:01:18 pm CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","None / I switch frequently","5","3","4","5","3","3","5","4","2","4","4","4","4","3","3"
"2026/02/16 9:03:21 pm CET","55+","Female","Spain","Not working","Prefer not to say","Yes","2–4 times","No, but I would consider it","Gucci","4","3","3","4","3","3","4","2","1","2","2","3","5","2","2"
"2026/02/16 9:13:23 pm CET","45-54","Male","UK","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","1–2 times","None / I switch frequently","4","3","3","4","5","4","4","3","3","3","4","4","5","4","3"
"2026/02/16 11:09:43 pm CET","45-54","Male","UAE","Senior professional / Management","7,000€+","Yes","2–4 times","No and I would not consider it","Louis Vuitton","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/17 9:50:26 am CET","45-54","Female","Spain","Senior professional / Management","4,001–7,000€","Yes","2–4 times","No, but I would consider it","None / I switch frequently","4","1","4","3","4","3","4","3","1","4","4","4","4","3","3"
"2026/02/17 9:52:56 am CET","18-24","Female","Spain","Student","I'm still a student","Yes","Once","No, but I would consider it","Gucci","5","4","5","4","4","3","4","4","2","4","5","5","4","3","3"
"2026/02/17 9:56:25 am CET","18-24","Female","Spain","Student","I'm still a student","Yes","Once","No, but I would consider it","None / I switch frequently","5","5","5","5","4","4","5","4","3","4","4","5","5","4","4"
"2026/02/17 9:58:06 am CET","45-54","Female","Spain","Senior professional / Management","4,001–7,000€","Yes","Once","No, but I would consider it","None / I switch frequently","4","1","2","2","3","3","4","4","1","3","4","4","4","3","3"
"2026/02/17 10:00:13 am CET","55+","Female","uk","Senior professional / Management","7,000€+","Yes","2–4 times","No, but I would consider it","None / I switch frequently","2","1","1","3","3","1","4","4","1","4","4","4","5","3","3"
"2026/02/17 10:01:50 am CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","Louis Vuitton","4","3","4","4","3","3","5","5","2","4","4","4","4","3","3"
"2026/02/17 10:03:47 am CET","35-44","Female","Spain","Senior professional / Management","4,001–7,000€","Yes","Once","No, but I would consider it","None / I switch frequently","4","3","4","4","3","3","4","4","2","4","4","4","4","3","4"
"2026/02/17 1:00:16 pm CET","45-54","Female","Japan","Senior professional / Management","7,000€+","Yes","More than 4 times","1–2 times","Dior","5","5","5","4","5","4","4","4","5","4","4","5","5","4","4"
"2026/02/17 1:29:59 pm CET","35-44","Male","France","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","No, but I would consider it","Louis Vuitton","2","2","1","3","3","2","3","2","1","1","2","2","4","1","1"
"2026/02/17 1:47:36 pm CET","25-34","Female","UK","Junior professional","4,001–7,000€","Yes","Once","No, but I would consider it","Dior","4","4","5","4","5","3","4","4","2","2","1","3","3","3","4"
"2026/02/17 2:01:04 pm CET","45-54","Female","Spain","Senior professional / Management","4,001–7,000€","Yes","Once","No, but I would consider it","Gucci","4","4","4","4","3","3","4","3","2","3","2","3","3","4","4"
"2026/02/17 2:28:04 pm CET","55+","Male","Spain","Senior professional / Management","4,001–7,000€","Yes","Once","No, but I would consider it","None / I switch frequently","1","1","1","1","3","2","2","2","1","1","2","2","3","2","1"
"2026/02/17 2:45:39 pm CET","45-54","Female","France","Senior professional / Management","7,000€+","Yes","More than 4 times","1–2 times","Dior","5","5","5","5","5","5","5","5","5","5","4","5","5","3","5"
"2026/02/17 3:02:31 pm CET","35-44","Female","EEUU","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","No, but I would consider it","None / I switch frequently","5","4","5","4","4","3","4","4","2","4","3","4","4","4","4"
"2026/02/17 4:27:38 pm CET","35-44","Male","Spain","Entrepreneur / Freelancer","4,001–7,000€","Yes","2–4 times","1–2 times","Louis Vuitton","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/02/17 5:33:40 pm CET","55+","Male","Spain","Senior professional / Management","7,000€+","Yes","Once","No, but I would consider it","Louis Vuitton","2","2","1","2","3","3","3","3","1","1","3","3","3","3","2"
"2026/02/17 5:45:44 pm CET","45-54","Male","UAE","Senior professional / Management","7,000€+","Yes","More than 4 times","Several times","Louis Vuitton","4","4","2","4","5","4","4","3","4","4","5","5","5","3","3"
"2026/02/17 5:50:09 pm CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","Gucci","4","4","5","5","4","3","4","5","1","2","2","3","3","3","4"
"2026/02/17 6:08:51 pm CET","25-34","Male","Spain","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","None / I switch frequently","3","2","1","2","3","2","3","4","1","1","2","3","3","4","3"
"2026/02/17 6:27:45 pm CET","35-44","Female","UK","Senior professional / Management","4,001–7,000€","Yes","Once","No, but I would consider it","Gucci","5","5","4","4","4","3","4","5","1","1","2","3","3","3","4"
"2026/02/17 6:35:44 pm CET","35-44","Female","Spain","Entrepreneur / Freelancer","Prefer not to say","Yes","2–4 times","1–2 times","Gucci","5","5","5","5","5","4","5","5","3","3","3","4","4","4","5"
"2026/02/17 6:40:01 pm CET","55+","Female","Spain","Senior professional / Management","Prefer not to say","Yes","2–4 times","No, but I would consider it","None / I switch frequently","3","3","2","3","3","3","3","3","2","2","2","2","4","2","2"
"2026/02/17 7:55:15 pm CET","45-54","Female","Italy","Senior professional / Management","Prefer not to say","Yes","2–4 times","No, but I would consider it","Gucci","4","4","3","3","4","3","5","2","4","4","4","4","4","2","3"
"2026/02/17 7:58:14 pm CET","55+","Female","Spain","Junior professional","7,000€+","Yes","Once","No and I would not consider it","None / I switch frequently","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2"
"2026/02/17 8:08:18 pm CET","35-44","Male","Spain","Senior professional / Management","Prefer not to say","Yes","2–4 times","1–2 times","Louis Vuitton","4","4","2","4","4","4","4","4","2","1","2","3","4","4","4"
"2026/02/17 8:16:13 pm CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","Dior","5","5","5","5","5","4","4","4","2","4","3","3","3","3","4"
"2026/02/17 8:17:25 pm CET","35-44","Female","Spain","Senior professional / Management","4,001–7,000€","Yes","2–4 times","No, but I would consider it","Louis Vuitton","4","4","3","3","3","3","4","3","5","5","4","5","4","3","3"
"2026/02/17 8:20:05 pm CET","45-54","Male","EEUU","Entrepreneur / Freelancer","7,000€+","Yes","More than 4 times","1–2 times","Louis Vuitton","3","3","1","3","5","4","4","4","3","4","4","4","5","3","4"
"2026/02/17 8:26:05 pm CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","Louis Vuitton","4","3","4","4","4","3","4","4","3","4","4","4","4","3","4"
"2026/02/17 8:29:54 pm CET","45-54","Female","France","Senior professional / Management","7,000€+","Yes","2–4 times","1–2 times","Dior","4","1","4","2","4","3","4","2","2","4","4","4","5","3","3"
"2026/02/17 8:31:15 pm CET","45-54","Female","Belgiumm","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","1–2 times","Dior","4","2","4","5","5","3","4","3","3","4","5","5","5","2","3"
"2026/02/17 8:40:12 pm CET","35-44","Female","Spain","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","Dior","5","5","5","5","4","4","5","5","5","5","3","3","3","4","5"
"2026/02/17 8:46:16 pm CET","55+","Female","UK","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","1–2 times","Gucci","4","3","4","4","5","5","5","4","5","4","4","4","5","3","4"
"2026/02/17 8:50:35 pm CET","25-34","Female","Spain","Junior professional","1,500–2,500€","Yes","Never","No, but I would consider it","Louis Vuitton","4","4","4","4","3","4","3","4","1","2","2","3","1","2","3"
"2026/02/17 8:51:48 pm CET","18-24","Female","Spain","Student","I'm still a student","Yes","Never","No, but I would consider it","Dior","5","5","5","5","3","4","5","5","5","5","3","4","1","3","4"
"2026/02/17 9:01:05 pm CET","18-24","Male","Spain","Student","1,500–2,500€","Yes","Never","No, but I would consider it","None / I switch frequently","3","2","2","2","3","3","4","4","1","1","2","2","1","2","2"
"2026/02/17 9:16:52 pm CET","35-44","Female","Spain","Senior professional / Management","4,001–7,000€","Yes","Never","No, but I would consider it","Dior","4","4","3","4","4","3","4","4","4","2","2","3","1","3","4"
"2026/02/17 9:19:01 pm CET","55+","Female","USA","Senior professional / Management","7,000€+","Yes","Once","No, but I would consider it","Louis Vuitton","3","2","5","3","2","3","3","4","3","3","3","4","3","3","3"
"2026/02/17 9:22:14 pm CET","35-44","Female","Switzerland","Senior professional / Management","Prefer not to say","Yes","2–4 times","Several times","None / I switch frequently","1","1","1","1","3","1","2","1","1","1","3","3","4","1","1"
"2026/02/18 10:42:25 am CET","55+","Male","Switzerland","Senior professional / Management","7,000€+","No","Never","No, but I would consider it","Louis Vuitton","2","1","1","2","3","4","1","1","3","2","1","3","2","2","2"
"2026/02/18 11:19:28 am CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Never","No, but I would consider it","Dior","4","3","4","4","3","3","4","3","1","4","3","3","2","3","1"
"2026/02/18 11:21:33 am CET","35-44","Female","Spain","Junior professional","4,001–7,000€","Yes","Never","No, but I would consider it","Gucci","5","3","4","4","4","3","5","3","2","4","2","3","2","3","3"
"2026/02/18 11:23:13 am CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","Gucci","5","4","5","5","4","3","5","4","3","4","4","4","3","3","3"
"2026/02/18 11:38:36 am CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Never","No, but I would consider it","Dior","4","3","4","4","3","3","4","4","2","2","2","3","1","2","3"
"2026/02/18 11:46:10 am CET","18-24","Male","Spain","Student","Prefer not to say","Yes","2–4 times","1–2 times","Louis Vuitton","5","4","3","4","5","4","4","5","3","5","4","5","4","3","4"
"2026/02/18 11:57:39 am CET","55+","Female","Spain","Senior professional / Management","7,000€+","Yes","2–4 times","No, but I would consider it","Gucci","3","3","2","2","3","3","3","3","4","5","4","5","5","2","2"
"2026/02/18 12:01:40 pm CET","35-44","Male","Spain","Senior professional / Management","7,000€+","Yes","Once","No, but I would consider it","None / I switch frequently","2","2","2","2","3","3","2","3","2","2","2","3","3","3","2"
"2026/02/18 12:17:35 pm CET","35-44","Female","Spain","Senior professional / Management","4,001–7,000€","Yes","Never","No, but I would consider it","None / I switch frequently","5","3","4","4","3","3","4","4","2","4","2","3","3","4","4"
"2026/02/18 12:27:41 pm CET","45-54","Female","Spain","Senior professional / Management","Prefer not to say","Yes","Once","No, but I would consider it","Dior","3","2","2","3","4","3","4","4","2","4","2","3","3","3","3"
"2026/02/18 1:52:47 pm CET","25-34","Male","Spain","Junior professional","2,501–4,000€","Yes","Never","No, but I would consider it","Louis Vuitton","3","1","1","2","3","4","4","4","1","3","4","4","1","3","3"
